Quarter,Garda Division,Type of Offence,VALUE
2006Q3,Laois-Offaly Garda Division,Road and traffic offences,683.0
2006Q3,Laois-Offaly Garda Division,"Robbery, extortion and hijacking offences",7.0
2006Q3,Laois-Offaly Garda Division,Sexual offences,8.0
2006Q3,Laois-Offaly Garda Division,Theft and related offences,403.0
2006Q3,Laois-Offaly Garda Division,Weapons and explosives offences,12.0
2006Q4,Laois-Offaly Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",132.0
2006Q4,Laois-Offaly Garda Division,Burglary and related offences,175.0
2006Q4,Laois-Offaly Garda Division,Controlled drug offences,251.0
2006Q4,Laois-Offaly Garda Division,Damage to property and to the environment  offences,292.0
2006Q4,Laois-Offaly Garda Division,Dangerous or negligent acts,439.0
2006Q4,Laois-Offaly Garda Division,"Fraud, deception and related offences",15.0
2006Q4,Laois-Offaly Garda Division,Homicide & related offences,1.0
2006Q4,Laois-Offaly Garda Division,Kidnapping and related offences,0.0
2006Q4,Laois-Offaly Garda Division,"Offences against government, justice procedures and organisation of crime",43.0
2006Q4,Laois-Offaly Garda Division,Offences not elsewhere classified,19.0
2006Q4,Laois-Offaly Garda Division,Public order and other social code offences,328.0
2006Q4,Laois-Offaly Garda Division,Road and traffic offences,699.0
2006Q4,Laois-Offaly Garda Division,"Robbery, extortion and hijacking offences",5.0
2006Q4,Laois-Offaly Garda Division,Sexual offences,7.0
2006Q4,Laois-Offaly Garda Division,Theft and related offences,366.0
2006Q4,Laois-Offaly Garda Division,Weapons and explosives offences,24.0
2007Q1,Laois-Offaly Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",125.0
2007Q1,Laois-Offaly Garda Division,Burglary and related offences,161.0
2007Q1,Laois-Offaly Garda Division,Controlled drug offences,122.0
2007Q1,Laois-Offaly Garda Division,Damage to property and to the environment  offences,230.0
2007Q1,Laois-Offaly Garda Division,Dangerous or negligent acts,599.0
2007Q1,Laois-Offaly Garda Division,"Fraud, deception and related offences",29.0
2007Q1,Laois-Offaly Garda Division,Homicide & related offences,2.0
2007Q1,Laois-Offaly Garda Division,Kidnapping and related offences,1.0
2007Q1,Laois-Offaly Garda Division,"Offences against government, justice procedures and organisation of crime",44.0
2007Q1,Laois-Offaly Garda Division,Offences not elsewhere classified,22.0
2007Q1,Laois-Offaly Garda Division,Public order and other social code offences,269.0
2007Q1,Laois-Offaly Garda Division,Road and traffic offences,732.0
2007Q1,Laois-Offaly Garda Division,"Robbery, extortion and hijacking offences",9.0
2007Q1,Laois-Offaly Garda Division,Sexual offences,9.0
2007Q1,Laois-Offaly Garda Division,Theft and related offences,345.0
2007Q1,Laois-Offaly Garda Division,Weapons and explosives offences,15.0
2007Q2,Laois-Offaly Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",139.0
2007Q2,Laois-Offaly Garda Division,Burglary and related offences,159.0
2007Q2,Laois-Offaly Garda Division,Controlled drug offences,139.0
2007Q2,Laois-Offaly Garda Division,Damage to property and to the environment  offences,271.0
2007Q2,Laois-Offaly Garda Division,Dangerous or negligent acts,543.0
2007Q2,Laois-Offaly Garda Division,"Fraud, deception and related offences",18.0
2007Q2,Laois-Offaly Garda Division,Homicide & related offences,1.0
2007Q2,Laois-Offaly Garda Division,Kidnapping and related offences,0.0
2007Q2,Laois-Offaly Garda Division,"Offences against government, justice procedures and organisation of crime",40.0
2007Q2,Laois-Offaly Garda Division,Offences not elsewhere classified,21.0
2007Q2,Laois-Offaly Garda Division,Public order and other social code offences,358.0
2007Q2,Laois-Offaly Garda Division,Road and traffic offences,713.0
2007Q2,Laois-Offaly Garda Division,"Robbery, extortion and hijacking offences",3.0
2007Q2,Laois-Offaly Garda Division,Sexual offences,4.0
2007Q2,Laois-Offaly Garda Division,Theft and related offences,408.0
2007Q2,Laois-Offaly Garda Division,Weapons and explosives offences,15.0
2007Q3,Laois-Offaly Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",155.0
2007Q3,Laois-Offaly Garda Division,Burglary and related offences,155.0
2007Q3,Laois-Offaly Garda Division,Controlled drug offences,440.0
2007Q3,Laois-Offaly Garda Division,Damage to property and to the environment  offences,261.0
