Quarter,Garda Division,Type of Offence,VALUE
2008Q3,Cork North Garda Division,"Robbery, extortion and hijacking offences",4.0
2008Q3,Cork North Garda Division,Sexual offences,8.0
2008Q3,Cork North Garda Division,Theft and related offences,269.0
2008Q3,Cork North Garda Division,Weapons and explosives offences,18.0
2008Q4,Cork North Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",121.0
2008Q4,Cork North Garda Division,Burglary and related offences,75.0
2008Q4,Cork North Garda Division,Controlled drug offences,157.0
2008Q4,Cork North Garda Division,Damage to property and to the environment  offences,218.0
2008Q4,Cork North Garda Division,Dangerous or negligent acts,336.0
2008Q4,Cork North Garda Division,"Fraud, deception and related offences",28.0
2008Q4,Cork North Garda Division,Homicide & related offences,1.0
2008Q4,Cork North Garda Division,Kidnapping and related offences,0.0
2008Q4,Cork North Garda Division,"Offences against government, justice procedures and organisation of crime",38.0
2008Q4,Cork North Garda Division,Offences not elsewhere classified,21.0
2008Q4,Cork North Garda Division,Public order and other social code offences,402.0
2008Q4,Cork North Garda Division,Road and traffic offences,1132.0
2008Q4,Cork North Garda Division,"Robbery, extortion and hijacking offences",2.0
2008Q4,Cork North Garda Division,Sexual offences,5.0
2008Q4,Cork North Garda Division,Theft and related offences,250.0
2008Q4,Cork North Garda Division,Weapons and explosives offences,16.0
2009Q1,Cork North Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",111.0
2009Q1,Cork North Garda Division,Burglary and related offences,68.0
2009Q1,Cork North Garda Division,Controlled drug offences,172.0
2009Q1,Cork North Garda Division,Damage to property and to the environment  offences,200.0
2009Q1,Cork North Garda Division,Dangerous or negligent acts,336.0
2009Q1,Cork North Garda Division,"Fraud, deception and related offences",34.0
2009Q1,Cork North Garda Division,Homicide & related offences,1.0
2009Q1,Cork North Garda Division,Kidnapping and related offences,2.0
2009Q1,Cork North Garda Division,"Offences against government, justice procedures and organisation of crime",33.0
2009Q1,Cork North Garda Division,Offences not elsewhere classified,17.0
2009Q1,Cork North Garda Division,Public order and other social code offences,321.0
2009Q1,Cork North Garda Division,Road and traffic offences,1033.0
2009Q1,Cork North Garda Division,"Robbery, extortion and hijacking offences",4.0
2009Q1,Cork North Garda Division,Sexual offences,7.0
2009Q1,Cork North Garda Division,Theft and related offences,272.0
2009Q1,Cork North Garda Division,Weapons and explosives offences,12.0
2009Q2,Cork North Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",135.0
2009Q2,Cork North Garda Division,Burglary and related offences,76.0
2009Q2,Cork North Garda Division,Controlled drug offences,147.0
2009Q2,Cork North Garda Division,Damage to property and to the environment  offences,200.0
2009Q2,Cork North Garda Division,Dangerous or negligent acts,433.0
2009Q2,Cork North Garda Division,"Fraud, deception and related offences",30.0
2009Q2,Cork North Garda Division,Homicide & related offences,1.0
2009Q2,Cork North Garda Division,Kidnapping and related offences,1.0
2009Q2,Cork North Garda Division,"Offences against government, justice procedures and organisation of crime",27.0
2009Q2,Cork North Garda Division,Offences not elsewhere classified,18.0
2009Q2,Cork North Garda Division,Public order and other social code offences,388.0
2009Q2,Cork North Garda Division,Road and traffic offences,1160.0
2009Q2,Cork North Garda Division,"Robbery, extortion and hijacking offences",1.0
2009Q2,Cork North Garda Division,Sexual offences,7.0
2009Q2,Cork North Garda Division,Theft and related offences,278.0
2009Q2,Cork North Garda Division,Weapons and explosives offences,13.0
2009Q3,Cork North Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",111.0
2009Q3,Cork North Garda Division,Burglary and related offences,84.0
2009Q3,Cork North Garda Division,Controlled drug offences,139.0
2009Q3,Cork North Garda Division,Damage to property and to the environment  offences,187.0
2009Q3,Cork North Garda Division,Dangerous or negligent acts,332.0
2009Q3,Cork North Garda Division,"Fraud, deception and related offences",28.0
2009Q3,Cork North Garda Division,Homicide & related offences,0.0
2009Q3,Cork North Garda Division,Kidnapping and related offences,3.0
2009Q3,Cork North Garda Division,"Offences against government, justice procedures and organisation of crime",40.0
2009Q3,Cork North Garda Division,Offences not elsewhere classified,27.0
2009Q3,Cork North Garda Division,Public order and other social code offences,432.0
2009Q3,Cork North Garda Division,Road and traffic offences,1028.0
2009Q3,Cork North Garda Division,"Robbery, extortion and hijacking offences",2.0
2009Q3,Cork North Garda Division,Sexual offences,12.0
2009Q3,Cork North Garda Division,Theft and related offences,261.0
