Year,Garda Division,Type of Offence,VALUE
2006,Meath Garda Division,Robbery from the person (0613),11.0
2006,Meath Garda Division,Robbery of an establishment or institution (0611),45.0
2006,Meath Garda Division,Robbery of cash or goods in transit (0612),0.0
2006,Meath Garda Division,"Robbery, extortion and hijacking offences (06)",60.0
2006,Meath Garda Division,Sexual offences (02),39.0
2006,Meath Garda Division,Social code offences (n.e.c.) (136),2.0
2006,Meath Garda Division,Speeding (0415),1529.0
2006,Meath Garda Division,Theft and related offences (08),2013.0
2006,Meath Garda Division,Theft from person (0821),45.0
2006,Meath Garda Division,Theft from shop (0822),299.0
2006,Meath Garda Division,Theft/taking of vehicle and related offences (081),388.0
2006,Meath Garda Division,Threat to kill or cause serious harm (0313),0.0
2006,Meath Garda Division,Trespass offences (132),53.0
2006,Meath Garda Division,Unseaworthy/dangerous use of boat or ship (0423),0.0
2006,Meath Garda Division,Vehicle tax/registration offences (142),340.0
2006,Meath Garda Division,Weapons and explosives offences (11),54.0
2007,Meath Garda Division,"Abandoning a child, child neglect and cruelty (0422)",12.0
2007,Meath Garda Division,Abduction of person under 16 years of age (0512),0.0
2007,Meath Garda Division,Aggravated burglary (0711),6.0
2007,Meath Garda Division,Arson (1211),56.0
2007,Meath Garda Division,"Assault causing harm, poisoning (034)",96.0
2007,Meath Garda Division,"Attempts/threats to murder, assaults, harassments and related offences (03)",505.0
2007,Meath Garda Division,Blackmail or extortion (0621),1.0
2007,Meath Garda Division,Burglary (not aggravated) (0712),858.0
2007,Meath Garda Division,Burglary and related offences (07),866.0
2007,Meath Garda Division,"Carjacking, hijacking/unlawful seizure of aircraft/vessel (0631)",4.0
2007,Meath Garda Division,Controlled drug offences (10),327.0
2007,Meath Garda Division,Criminal damage (not arson) (1212),931.0
2007,Meath Garda Division,Cultivation or manufacture of drugs (1012),7.0
2007,Meath Garda Division,Damage to property and to the environment  offences (12),994.0
2007,Meath Garda Division,Dangerous driving causing serious bodily harm (0411),0.0
2007,Meath Garda Division,Dangerous driving leading to death (012),7.0
2007,Meath Garda Division,Dangerous or negligent acts (04),2732.0
2007,Meath Garda Division,Dangerous/careless driving and motorway offences (0414),494.0
2007,Meath Garda Division,Discharging a firearm (1121),5.0
2007,Meath Garda Division,Disorderly conduct (131),1016.0
2007,Meath Garda Division,"Driving licence-failure to have, produce, etc. (1411)",255.0
2007,Meath Garda Division,"Driving/In charge of a vehicle while intoxicated – alcohol and/or drugs (0412,0413)",664.0
2007,Meath Garda Division,Driving/in charge of a vehicle under the influence of drugs (0413),5.0
2007,Meath Garda Division,Driving/in charge of a vehicle while over legal alcohol limit (0412),659.0
2007,Meath Garda Division,Endangering traffic offences (0425),5.0
2007,Meath Garda Division,Endangerment with potential for serious harm/death (0421),4.0
2007,Meath Garda Division,"Explosives, chemical weapons offences (111)",1.0
2007,Meath Garda Division,False alarm/interference with aircraft or air transport facilities (0424),0.0
