Quarter,Garda Division,Type of Offence,VALUE
2006Q2,Louth Garda Division,Weapons and explosives offences,20.0
2006Q3,Louth Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",98.0
2006Q3,Louth Garda Division,Burglary and related offences,161.0
2006Q3,Louth Garda Division,Controlled drug offences,41.0
2006Q3,Louth Garda Division,Damage to property and to the environment  offences,323.0
2006Q3,Louth Garda Division,Dangerous or negligent acts,574.0
2006Q3,Louth Garda Division,"Fraud, deception and related offences",47.0
2006Q3,Louth Garda Division,Homicide & related offences,0.0
2006Q3,Louth Garda Division,Kidnapping and related offences,3.0
2006Q3,Louth Garda Division,"Offences against government, justice procedures and organisation of crime",44.0
2006Q3,Louth Garda Division,Offences not elsewhere classified,122.0
2006Q3,Louth Garda Division,Public order and other social code offences,336.0
2006Q3,Louth Garda Division,Road and traffic offences,561.0
2006Q3,Louth Garda Division,"Robbery, extortion and hijacking offences",21.0
2006Q3,Louth Garda Division,Sexual offences,11.0
2006Q3,Louth Garda Division,Theft and related offences,500.0
2006Q3,Louth Garda Division,Weapons and explosives offences,24.0
2006Q4,Louth Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",149.0
2006Q4,Louth Garda Division,Burglary and related offences,243.0
2006Q4,Louth Garda Division,Controlled drug offences,39.0
2006Q4,Louth Garda Division,Damage to property and to the environment  offences,416.0
2006Q4,Louth Garda Division,Dangerous or negligent acts,533.0
2006Q4,Louth Garda Division,"Fraud, deception and related offences",35.0
2006Q4,Louth Garda Division,Homicide & related offences,3.0
2006Q4,Louth Garda Division,Kidnapping and related offences,2.0
2006Q4,Louth Garda Division,"Offences against government, justice procedures and organisation of crime",46.0
2006Q4,Louth Garda Division,Offences not elsewhere classified,80.0
2006Q4,Louth Garda Division,Public order and other social code offences,360.0
2006Q4,Louth Garda Division,Road and traffic offences,668.0
2006Q4,Louth Garda Division,"Robbery, extortion and hijacking offences",20.0
2006Q4,Louth Garda Division,Sexual offences,12.0
2006Q4,Louth Garda Division,Theft and related offences,512.0
2006Q4,Louth Garda Division,Weapons and explosives offences,21.0
2007Q1,Louth Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",100.0
2007Q1,Louth Garda Division,Burglary and related offences,223.0
2007Q1,Louth Garda Division,Controlled drug offences,42.0
2007Q1,Louth Garda Division,Damage to property and to the environment  offences,465.0
2007Q1,Louth Garda Division,Dangerous or negligent acts,604.0
2007Q1,Louth Garda Division,"Fraud, deception and related offences",79.0
2007Q1,Louth Garda Division,Homicide & related offences,1.0
2007Q1,Louth Garda Division,Kidnapping and related offences,0.0
