Quarter,Garda Division,Type of Offence,VALUE
2006Q3,Wexford Garda Division,Dangerous or negligent acts,496.0
2006Q3,Wexford Garda Division,"Fraud, deception and related offences",17.0
2006Q3,Wexford Garda Division,Homicide & related offences,0.0
2006Q3,Wexford Garda Division,Kidnapping and related offences,0.0
2006Q3,Wexford Garda Division,"Offences against government, justice procedures and organisation of crime",23.0
2006Q3,Wexford Garda Division,Offences not elsewhere classified,35.0
2006Q3,Wexford Garda Division,Public order and other social code offences,383.0
2006Q3,Wexford Garda Division,Road and traffic offences,845.0
2006Q3,Wexford Garda Division,"Robbery, extortion and hijacking offences",8.0
2006Q3,Wexford Garda Division,Sexual offences,16.0
2006Q3,Wexford Garda Division,Theft and related offences,397.0
2006Q3,Wexford Garda Division,Weapons and explosives offences,20.0
2006Q4,Wexford Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",113.0
2006Q4,Wexford Garda Division,Burglary and related offences,235.0
2006Q4,Wexford Garda Division,Controlled drug offences,133.0
2006Q4,Wexford Garda Division,Damage to property and to the environment  offences,256.0
2006Q4,Wexford Garda Division,Dangerous or negligent acts,429.0
2006Q4,Wexford Garda Division,"Fraud, deception and related offences",35.0
2006Q4,Wexford Garda Division,Homicide & related offences,0.0
2006Q4,Wexford Garda Division,Kidnapping and related offences,0.0
2006Q4,Wexford Garda Division,"Offences against government, justice procedures and organisation of crime",17.0
2006Q4,Wexford Garda Division,Offences not elsewhere classified,23.0
2006Q4,Wexford Garda Division,Public order and other social code offences,387.0
2006Q4,Wexford Garda Division,Road and traffic offences,891.0
2006Q4,Wexford Garda Division,"Robbery, extortion and hijacking offences",5.0
2006Q4,Wexford Garda Division,Sexual offences,11.0
2006Q4,Wexford Garda Division,Theft and related offences,279.0
2006Q4,Wexford Garda Division,Weapons and explosives offences,37.0
2007Q1,Wexford Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",117.0
2007Q1,Wexford Garda Division,Burglary and related offences,262.0
2007Q1,Wexford Garda Division,Controlled drug offences,149.0
2007Q1,Wexford Garda Division,Damage to property and to the environment  offences,235.0
2007Q1,Wexford Garda Division,Dangerous or negligent acts,365.0
2007Q1,Wexford Garda Division,"Fraud, deception and related offences",34.0
2007Q1,Wexford Garda Division,Homicide & related offences,1.0
2007Q1,Wexford Garda Division,Kidnapping and related offences,2.0
2007Q1,Wexford Garda Division,"Offences against government, justice procedures and organisation of crime",26.0
2007Q1,Wexford Garda Division,Offences not elsewhere classified,40.0
2007Q1,Wexford Garda Division,Public order and other social code offences,389.0
2007Q1,Wexford Garda Division,Road and traffic offences,858.0
2007Q1,Wexford Garda Division,"Robbery, extortion and hijacking offences",4.0
2007Q1,Wexford Garda Division,Sexual offences,10.0
2007Q1,Wexford Garda Division,Theft and related offences,295.0
2007Q1,Wexford Garda Division,Weapons and explosives offences,17.0
2007Q2,Wexford Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",137.0
2007Q2,Wexford Garda Division,Burglary and related offences,159.0
2007Q2,Wexford Garda Division,Controlled drug offences,118.0
2007Q2,Wexford Garda Division,Damage to property and to the environment  offences,252.0
2007Q2,Wexford Garda Division,Dangerous or negligent acts,565.0
2007Q2,Wexford Garda Division,"Fraud, deception and related offences",23.0
2007Q2,Wexford Garda Division,Homicide & related offences,5.0
2007Q2,Wexford Garda Division,Kidnapping and related offences,0.0
2007Q2,Wexford Garda Division,"Offences against government, justice procedures and organisation of crime",42.0
2007Q2,Wexford Garda Division,Offences not elsewhere classified,47.0
2007Q2,Wexford Garda Division,Public order and other social code offences,450.0
2007Q2,Wexford Garda Division,Road and traffic offences,952.0
2007Q2,Wexford Garda Division,"Robbery, extortion and hijacking offences",7.0
2007Q2,Wexford Garda Division,Sexual offences,17.0
2007Q2,Wexford Garda Division,Theft and related offences,347.0
2007Q2,Wexford Garda Division,Weapons and explosives offences,17.0
2007Q3,Wexford Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",133.0
2007Q3,Wexford Garda Division,Burglary and related offences,163.0
2007Q3,Wexford Garda Division,Controlled drug offences,115.0
2007Q3,Wexford Garda Division,Damage to property and to the environment  offences,236.0
2007Q3,Wexford Garda Division,Dangerous or negligent acts,482.0
2007Q3,Wexford Garda Division,"Fraud, deception and related offences",28.0
2007Q3,Wexford Garda Division,Homicide & related offences,3.0
2007Q3,Wexford Garda Division,Kidnapping and related offences,1.0
2007Q3,Wexford Garda Division,"Offences against government, justice procedures and organisation of crime",23.0
2007Q3,Wexford Garda Division,Offences not elsewhere classified,52.0
2007Q3,Wexford Garda Division,Public order and other social code offences,427.0
2007Q3,Wexford Garda Division,Road and traffic offences,756.0
2007Q3,Wexford Garda Division,"Robbery, extortion and hijacking offences",8.0
2007Q3,Wexford Garda Division,Sexual offences,19.0
2007Q3,Wexford Garda Division,Theft and related offences,395.0
2007Q3,Wexford Garda Division,Weapons and explosives offences,22.0
2007Q4,Wexford Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",127.0
2007Q4,Wexford Garda Division,Burglary and related offences,167.0
2007Q4,Wexford Garda Division,Controlled drug offences,100.0
2007Q4,Wexford Garda Division,Damage to property and to the environment  offences,235.0
2007Q4,Wexford Garda Division,Dangerous or negligent acts,378.0
2007Q4,Wexford Garda Division,"Fraud, deception and related offences",34.0
2007Q4,Wexford Garda Division,Homicide & related offences,0.0
2007Q4,Wexford Garda Division,Kidnapping and related offences,1.0
2007Q4,Wexford Garda Division,"Offences against government, justice procedures and organisation of crime",17.0
2007Q4,Wexford Garda Division,Offences not elsewhere classified,36.0
2007Q4,Wexford Garda Division,Public order and other social code offences,334.0
2007Q4,Wexford Garda Division,Road and traffic offences,762.0
2007Q4,Wexford Garda Division,"Robbery, extortion and hijacking offences",3.0
2007Q4,Wexford Garda Division,Sexual offences,8.0
2007Q4,Wexford Garda Division,Theft and related offences,333.0
2007Q4,Wexford Garda Division,Weapons and explosives offences,26.0
2008Q1,Wexford Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",129.0
2008Q1,Wexford Garda Division,Burglary and related offences,193.0
2008Q1,Wexford Garda Division,Controlled drug offences,77.0
2008Q1,Wexford Garda Division,Damage to property and to the environment  offences,245.0
2008Q1,Wexford Garda Division,Dangerous or negligent acts,422.0
2008Q1,Wexford Garda Division,"Fraud, deception and related offences",35.0
2008Q1,Wexford Garda Division,Homicide & related offences,1.0
2008Q1,Wexford Garda Division,Kidnapping and related offences,1.0
2008Q1,Wexford Garda Division,"Offences against government, justice procedures and organisation of crime",23.0
2008Q1,Wexford Garda Division,Offences not elsewhere classified,36.0
2008Q1,Wexford Garda Division,Public order and other social code offences,355.0
2008Q1,Wexford Garda Division,Road and traffic offences,773.0
2008Q1,Wexford Garda Division,"Robbery, extortion and hijacking offences",5.0
2008Q1,Wexford Garda Division,Sexual offences,12.0
2008Q1,Wexford Garda Division,Theft and related offences,356.0
2008Q1,Wexford Garda Division,Weapons and explosives offences,20.0
2008Q2,Wexford Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",129.0
