Quarter,Garda Division,Type of Offence,VALUE
2005Q3,Cavan-Monaghan Garda Division,Weapons and explosives offences,10.0
2005Q4,Cavan-Monaghan Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",189.0
2005Q4,Cavan-Monaghan Garda Division,Burglary and related offences,144.0
2005Q4,Cavan-Monaghan Garda Division,Controlled drug offences,67.0
2005Q4,Cavan-Monaghan Garda Division,Damage to property and to the environment  offences,240.0
2005Q4,Cavan-Monaghan Garda Division,Dangerous or negligent acts,390.0
2005Q4,Cavan-Monaghan Garda Division,"Fraud, deception and related offences",43.0
2005Q4,Cavan-Monaghan Garda Division,Homicide & related offences,1.0
2005Q4,Cavan-Monaghan Garda Division,Kidnapping and related offences,0.0
2005Q4,Cavan-Monaghan Garda Division,"Offences against government, justice procedures and organisation of crime",33.0
2005Q4,Cavan-Monaghan Garda Division,Offences not elsewhere classified,11.0
2005Q4,Cavan-Monaghan Garda Division,Public order and other social code offences,453.0
2005Q4,Cavan-Monaghan Garda Division,Road and traffic offences,371.0
2005Q4,Cavan-Monaghan Garda Division,"Robbery, extortion and hijacking offences",3.0
2005Q4,Cavan-Monaghan Garda Division,Sexual offences,14.0
2005Q4,Cavan-Monaghan Garda Division,Theft and related offences,310.0
2005Q4,Cavan-Monaghan Garda Division,Weapons and explosives offences,8.0
2006Q1,Cavan-Monaghan Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",166.0
2006Q1,Cavan-Monaghan Garda Division,Burglary and related offences,132.0
2006Q1,Cavan-Monaghan Garda Division,Controlled drug offences,72.0
2006Q1,Cavan-Monaghan Garda Division,Damage to property and to the environment  offences,178.0
2006Q1,Cavan-Monaghan Garda Division,Dangerous or negligent acts,532.0
2006Q1,Cavan-Monaghan Garda Division,"Fraud, deception and related offences",40.0
2006Q1,Cavan-Monaghan Garda Division,Homicide & related offences,3.0
2006Q1,Cavan-Monaghan Garda Division,Kidnapping and related offences,1.0
2006Q1,Cavan-Monaghan Garda Division,"Offences against government, justice procedures and organisation of crime",59.0
2006Q1,Cavan-Monaghan Garda Division,Offences not elsewhere classified,20.0
2006Q1,Cavan-Monaghan Garda Division,Public order and other social code offences,376.0
2006Q1,Cavan-Monaghan Garda Division,Road and traffic offences,410.0
2006Q1,Cavan-Monaghan Garda Division,"Robbery, extortion and hijacking offences",4.0
2006Q1,Cavan-Monaghan Garda Division,Sexual offences,13.0
2006Q1,Cavan-Monaghan Garda Division,Theft and related offences,274.0
2006Q1,Cavan-Monaghan Garda Division,Weapons and explosives offences,5.0
2006Q2,Cavan-Monaghan Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",155.0
2006Q2,Cavan-Monaghan Garda Division,Burglary and related offences,110.0
2006Q2,Cavan-Monaghan Garda Division,Controlled drug offences,80.0
2006Q2,Cavan-Monaghan Garda Division,Damage to property and to the environment  offences,198.0
2006Q2,Cavan-Monaghan Garda Division,Dangerous or negligent acts,888.0
2006Q2,Cavan-Monaghan Garda Division,"Fraud, deception and related offences",17.0
2006Q2,Cavan-Monaghan Garda Division,Homicide & related offences,0.0
2006Q2,Cavan-Monaghan Garda Division,Kidnapping and related offences,0.0
2006Q2,Cavan-Monaghan Garda Division,"Offences against government, justice procedures and organisation of crime",51.0
2006Q2,Cavan-Monaghan Garda Division,Offences not elsewhere classified,27.0
2006Q2,Cavan-Monaghan Garda Division,Public order and other social code offences,432.0
2006Q2,Cavan-Monaghan Garda Division,Road and traffic offences,1242.0
