Quarter,Garda Division,Type of Offence,VALUE
2005Q3,D.M.R. Western Garda Division,Sexual offences,23.0
2005Q3,D.M.R. Western Garda Division,Theft and related offences,1617.0
2005Q3,D.M.R. Western Garda Division,Weapons and explosives offences,83.0
2005Q4,D.M.R. Western Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",174.0
2005Q4,D.M.R. Western Garda Division,Burglary and related offences,350.0
2005Q4,D.M.R. Western Garda Division,Controlled drug offences,177.0
2005Q4,D.M.R. Western Garda Division,Damage to property and to the environment  offences,938.0
2005Q4,D.M.R. Western Garda Division,Dangerous or negligent acts,904.0
2005Q4,D.M.R. Western Garda Division,"Fraud, deception and related offences",70.0
2005Q4,D.M.R. Western Garda Division,Homicide & related offences,1.0
2005Q4,D.M.R. Western Garda Division,Kidnapping and related offences,5.0
2005Q4,D.M.R. Western Garda Division,"Offences against government, justice procedures and organisation of crime",169.0
2005Q4,D.M.R. Western Garda Division,Offences not elsewhere classified,18.0
2005Q4,D.M.R. Western Garda Division,Public order and other social code offences,682.0
2005Q4,D.M.R. Western Garda Division,Road and traffic offences,1798.0
2005Q4,D.M.R. Western Garda Division,"Robbery, extortion and hijacking offences",69.0
2005Q4,D.M.R. Western Garda Division,Sexual offences,14.0
2005Q4,D.M.R. Western Garda Division,Theft and related offences,1685.0
2005Q4,D.M.R. Western Garda Division,Weapons and explosives offences,70.0
2006Q1,D.M.R. Western Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",198.0
2006Q1,D.M.R. Western Garda Division,Burglary and related offences,506.0
2006Q1,D.M.R. Western Garda Division,Controlled drug offences,231.0
2006Q1,D.M.R. Western Garda Division,Damage to property and to the environment  offences,1109.0
2006Q1,D.M.R. Western Garda Division,Dangerous or negligent acts,2008.0
2006Q1,D.M.R. Western Garda Division,"Fraud, deception and related offences",98.0
2006Q1,D.M.R. Western Garda Division,Homicide & related offences,2.0
2006Q1,D.M.R. Western Garda Division,Kidnapping and related offences,0.0
2006Q1,D.M.R. Western Garda Division,"Offences against government, justice procedures and organisation of crime",131.0
2006Q1,D.M.R. Western Garda Division,Offences not elsewhere classified,22.0
2006Q1,D.M.R. Western Garda Division,Public order and other social code offences,689.0
2006Q1,D.M.R. Western Garda Division,Road and traffic offences,1879.0
2006Q1,D.M.R. Western Garda Division,"Robbery, extortion and hijacking offences",105.0
2006Q1,D.M.R. Western Garda Division,Sexual offences,38.0
2006Q1,D.M.R. Western Garda Division,Theft and related offences,1717.0
2006Q1,D.M.R. Western Garda Division,Weapons and explosives offences,73.0
2006Q2,D.M.R. Western Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",194.0
2006Q2,D.M.R. Western Garda Division,Burglary and related offences,354.0
2006Q2,D.M.R. Western Garda Division,Controlled drug offences,272.0
2006Q2,D.M.R. Western Garda Division,Damage to property and to the environment  offences,1053.0
2006Q2,D.M.R. Western Garda Division,Dangerous or negligent acts,2351.0
2006Q2,D.M.R. Western Garda Division,"Fraud, deception and related offences",64.0
2006Q2,D.M.R. Western Garda Division,Homicide & related offences,2.0
2006Q2,D.M.R. Western Garda Division,Kidnapping and related offences,2.0
2006Q2,D.M.R. Western Garda Division,"Offences against government, justice procedures and organisation of crime",153.0
2006Q2,D.M.R. Western Garda Division,Offences not elsewhere classified,26.0
2006Q2,D.M.R. Western Garda Division,Public order and other social code offences,799.0
2006Q2,D.M.R. Western Garda Division,Road and traffic offences,3684.0
2006Q2,D.M.R. Western Garda Division,"Robbery, extortion and hijacking offences",119.0
2006Q2,D.M.R. Western Garda Division,Sexual offences,23.0
2006Q2,D.M.R. Western Garda Division,Theft and related offences,1670.0
2006Q2,D.M.R. Western Garda Division,Weapons and explosives offences,80.0
2006Q3,D.M.R. Western Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",224.0
2006Q3,D.M.R. Western Garda Division,Burglary and related offences,364.0
2006Q3,D.M.R. Western Garda Division,Controlled drug offences,246.0
2006Q3,D.M.R. Western Garda Division,Damage to property and to the environment  offences,1055.0
