Quarter,Garda Division,Type of Offence,VALUE
2005Q2,D.M.R. Eastern Garda Division,Burglary and related offences,343.0
2005Q2,D.M.R. Eastern Garda Division,Controlled drug offences,209.0
2005Q2,D.M.R. Eastern Garda Division,Damage to property and to the environment  offences,402.0
2005Q2,D.M.R. Eastern Garda Division,Dangerous or negligent acts,84.0
2005Q2,D.M.R. Eastern Garda Division,"Fraud, deception and related offences",31.0
2005Q2,D.M.R. Eastern Garda Division,Homicide & related offences,0.0
2005Q2,D.M.R. Eastern Garda Division,Kidnapping and related offences,1.0
2005Q2,D.M.R. Eastern Garda Division,"Offences against government, justice procedures and organisation of crime",46.0
2005Q2,D.M.R. Eastern Garda Division,Offences not elsewhere classified,10.0
2005Q2,D.M.R. Eastern Garda Division,Public order and other social code offences,344.0
2005Q2,D.M.R. Eastern Garda Division,Road and traffic offences,769.0
2005Q2,D.M.R. Eastern Garda Division,"Robbery, extortion and hijacking offences",23.0
2005Q2,D.M.R. Eastern Garda Division,Sexual offences,5.0
2005Q2,D.M.R. Eastern Garda Division,Theft and related offences,804.0
2005Q2,D.M.R. Eastern Garda Division,Weapons and explosives offences,8.0
2005Q3,D.M.R. Eastern Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",111.0
2005Q3,D.M.R. Eastern Garda Division,Burglary and related offences,391.0
2005Q3,D.M.R. Eastern Garda Division,Controlled drug offences,170.0
2005Q3,D.M.R. Eastern Garda Division,Damage to property and to the environment  offences,384.0
2005Q3,D.M.R. Eastern Garda Division,Dangerous or negligent acts,87.0
2005Q3,D.M.R. Eastern Garda Division,"Fraud, deception and related offences",45.0
2005Q3,D.M.R. Eastern Garda Division,Homicide & related offences,0.0
2005Q3,D.M.R. Eastern Garda Division,Kidnapping and related offences,1.0
2005Q3,D.M.R. Eastern Garda Division,"Offences against government, justice procedures and organisation of crime",40.0
2005Q3,D.M.R. Eastern Garda Division,Offences not elsewhere classified,5.0
2005Q3,D.M.R. Eastern Garda Division,Public order and other social code offences,381.0
2005Q3,D.M.R. Eastern Garda Division,Road and traffic offences,706.0
2005Q3,D.M.R. Eastern Garda Division,"Robbery, extortion and hijacking offences",30.0
2005Q3,D.M.R. Eastern Garda Division,Sexual offences,6.0
2005Q3,D.M.R. Eastern Garda Division,Theft and related offences,795.0
2005Q3,D.M.R. Eastern Garda Division,Weapons and explosives offences,25.0
2005Q4,D.M.R. Eastern Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",74.0
2005Q4,D.M.R. Eastern Garda Division,Burglary and related offences,484.0
2005Q4,D.M.R. Eastern Garda Division,Controlled drug offences,146.0
2005Q4,D.M.R. Eastern Garda Division,Damage to property and to the environment  offences,434.0
2005Q4,D.M.R. Eastern Garda Division,Dangerous or negligent acts,115.0
2005Q4,D.M.R. Eastern Garda Division,"Fraud, deception and related offences",40.0
2005Q4,D.M.R. Eastern Garda Division,Homicide & related offences,1.0
2005Q4,D.M.R. Eastern Garda Division,Kidnapping and related offences,1.0
2005Q4,D.M.R. Eastern Garda Division,"Offences against government, justice procedures and organisation of crime",50.0
2005Q4,D.M.R. Eastern Garda Division,Offences not elsewhere classified,7.0
2005Q4,D.M.R. Eastern Garda Division,Public order and other social code offences,406.0
2005Q4,D.M.R. Eastern Garda Division,Road and traffic offences,723.0
2005Q4,D.M.R. Eastern Garda Division,"Robbery, extortion and hijacking offences",29.0
2005Q4,D.M.R. Eastern Garda Division,Sexual offences,7.0
2005Q4,D.M.R. Eastern Garda Division,Theft and related offences,730.0
2005Q4,D.M.R. Eastern Garda Division,Weapons and explosives offences,18.0
2006Q1,D.M.R. Eastern Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",74.0
2006Q1,D.M.R. Eastern Garda Division,Burglary and related offences,398.0
2006Q1,D.M.R. Eastern Garda Division,Controlled drug offences,151.0
2006Q1,D.M.R. Eastern Garda Division,Damage to property and to the environment  offences,403.0
2006Q1,D.M.R. Eastern Garda Division,Dangerous or negligent acts,239.0
2006Q1,D.M.R. Eastern Garda Division,"Fraud, deception and related offences",28.0
2006Q1,D.M.R. Eastern Garda Division,Homicide & related offences,2.0
2006Q1,D.M.R. Eastern Garda Division,Kidnapping and related offences,1.0
2006Q1,D.M.R. Eastern Garda Division,"Offences against government, justice procedures and organisation of crime",46.0
2006Q1,D.M.R. Eastern Garda Division,Offences not elsewhere classified,2.0
2006Q1,D.M.R. Eastern Garda Division,Public order and other social code offences,345.0
2006Q1,D.M.R. Eastern Garda Division,Road and traffic offences,792.0
2006Q1,D.M.R. Eastern Garda Division,"Robbery, extortion and hijacking offences",27.0
2006Q1,D.M.R. Eastern Garda Division,Sexual offences,11.0
2006Q1,D.M.R. Eastern Garda Division,Theft and related offences,778.0
2006Q1,D.M.R. Eastern Garda Division,Weapons and explosives offences,9.0
2006Q2,D.M.R. Eastern Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",70.0
2006Q2,D.M.R. Eastern Garda Division,Burglary and related offences,393.0
2006Q2,D.M.R. Eastern Garda Division,Controlled drug offences,186.0
2006Q2,D.M.R. Eastern Garda Division,Damage to property and to the environment  offences,445.0
2006Q2,D.M.R. Eastern Garda Division,Dangerous or negligent acts,258.0
2006Q2,D.M.R. Eastern Garda Division,"Fraud, deception and related offences",30.0
2006Q2,D.M.R. Eastern Garda Division,Homicide & related offences,0.0
