Division,Crime,SPRING,SUMMER,AUTUMN,WINTER,Cluster
Mayo Garda Division,Burglary and related offences,0,0,0,0,0
Mayo Garda Division,Controlled drug offences,0,10,10,0,0
Mayo Garda Division,Damage to property and to the environment  offences,4,2,0,0,0
Mayo Garda Division,Dangerous or negligent acts,76,74,132,88,0
Mayo Garda Division,"Fraud, deception and related offences",0,0,0,0,0
Mayo Garda Division,Homicide & related offences,0,0,0,0,0
Mayo Garda Division,Kidnapping and related offences,0,0,0,0,0
Mayo Garda Division,"Offences against government, justice procedures and organisation of crime",2,0,0,0,0
Mayo Garda Division,Offences not elsewhere classified,0,0,0,0,0
Mayo Garda Division,Public order and other social code offences,68,60,96,74,0
Mayo Garda Division,Road and traffic offences,732,760,600,688,1
Mayo Garda Division,"Robbery, extortion and hijacking offences",0,0,0,0,0
Mayo Garda Division,Sexual offences,0,0,0,0,0
Mayo Garda Division,Theft and related offences,406,382,450,382,2
Mayo Garda Division,Weapons and explosives offences,0,0,0,0,0
Meath Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",0,0,0,0,0
Meath Garda Division,Burglary and related offences,0,0,0,0,0
Meath Garda Division,Controlled drug offences,0,10,10,0,0
Meath Garda Division,Damage to property and to the environment  offences,4,2,0,0,0
Meath Garda Division,Dangerous or negligent acts,76,74,132,88,0
Meath Garda Division,"Fraud, deception and related offences",0,0,0,0,0
Meath Garda Division,Homicide & related offences,0,0,0,0,0
Meath Garda Division,Kidnapping and related offences,0,0,0,0,0
Meath Garda Division,"Offences against government, justice procedures and organisation of crime",2,0,0,0,0
Meath Garda Division,Offences not elsewhere classified,0,0,0,0,0
Meath Garda Division,Public order and other social code offences,68,60,96,74,0
Meath Garda Division,Road and traffic offences,732,760,600,688,1
Meath Garda Division,"Robbery, extortion and hijacking offences",0,0,0,0,0
Meath Garda Division,Sexual offences,0,0,0,0,0
Meath Garda Division,Theft and related offences,406,382,450,382,2
Meath Garda Division,Weapons and explosives offences,0,0,0,0,0
Roscommon-Longford Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",0,0,0,0,0
Roscommon-Longford Garda Division,Burglary and related offences,0,0,0,0,0
Roscommon-Longford Garda Division,Controlled drug offences,0,10,10,0,0
Roscommon-Longford Garda Division,Damage to property and to the environment  offences,4,2,0,0,0
Roscommon-Longford Garda Division,Dangerous or negligent acts,76,74,132,88,0
Roscommon-Longford Garda Division,"Fraud, deception and related offences",0,0,0,0,0
Roscommon-Longford Garda Division,Homicide & related offences,0,0,0,0,0
Roscommon-Longford Garda Division,Kidnapping and related offences,0,0,0,0,0
Roscommon-Longford Garda Division,"Offences against government, justice procedures and organisation of crime",2,0,0,0,0
Roscommon-Longford Garda Division,Offences not elsewhere classified,0,0,0,0,0
Roscommon-Longford Garda Division,Public order and other social code offences,68,60,96,74,0
Roscommon-Longford Garda Division,Road and traffic offences,732,760,600,688,1
Roscommon-Longford Garda Division,"Robbery, extortion and hijacking offences",0,0,0,0,0
Roscommon-Longford Garda Division,Sexual offences,0,0,0,0,0
Roscommon-Longford Garda Division,Theft and related offences,406,382,450,382,2
Roscommon-Longford Garda Division,Weapons and explosives offences,0,0,0,0,0
