Quarter,Garda Division,Type of Offence,VALUE
2006Q4,Limerick Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",244.0
2006Q4,Limerick Garda Division,Burglary and related offences,295.0
2006Q4,Limerick Garda Division,Controlled drug offences,183.0
2006Q4,Limerick Garda Division,Damage to property and to the environment  offences,762.0
2006Q4,Limerick Garda Division,Dangerous or negligent acts,553.0
2006Q4,Limerick Garda Division,"Fraud, deception and related offences",36.0
2006Q4,Limerick Garda Division,Homicide & related offences,3.0
2006Q4,Limerick Garda Division,Kidnapping and related offences,2.0
2006Q4,Limerick Garda Division,"Offences against government, justice procedures and organisation of crime",50.0
2006Q4,Limerick Garda Division,Offences not elsewhere classified,20.0
2006Q4,Limerick Garda Division,Public order and other social code offences,769.0
2006Q4,Limerick Garda Division,Road and traffic offences,2185.0
2006Q4,Limerick Garda Division,"Robbery, extortion and hijacking offences",40.0
2006Q4,Limerick Garda Division,Sexual offences,14.0
2006Q4,Limerick Garda Division,Theft and related offences,1157.0
2006Q4,Limerick Garda Division,Weapons and explosives offences,80.0
2007Q1,Limerick Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",241.0
2007Q1,Limerick Garda Division,Burglary and related offences,272.0
2007Q1,Limerick Garda Division,Controlled drug offences,207.0
2007Q1,Limerick Garda Division,Damage to property and to the environment  offences,783.0
2007Q1,Limerick Garda Division,Dangerous or negligent acts,488.0
2007Q1,Limerick Garda Division,"Fraud, deception and related offences",62.0
2007Q1,Limerick Garda Division,Homicide & related offences,1.0
2007Q1,Limerick Garda Division,Kidnapping and related offences,2.0
2007Q1,Limerick Garda Division,"Offences against government, justice procedures and organisation of crime",72.0
2007Q1,Limerick Garda Division,Offences not elsewhere classified,25.0
2007Q1,Limerick Garda Division,Public order and other social code offences,599.0
2007Q1,Limerick Garda Division,Road and traffic offences,1512.0
2007Q1,Limerick Garda Division,"Robbery, extortion and hijacking offences",39.0
2007Q1,Limerick Garda Division,Sexual offences,21.0
2007Q1,Limerick Garda Division,Theft and related offences,1180.0
2007Q1,Limerick Garda Division,Weapons and explosives offences,74.0
2007Q2,Limerick Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",253.0
2007Q2,Limerick Garda Division,Burglary and related offences,301.0
2007Q2,Limerick Garda Division,Controlled drug offences,210.0
2007Q2,Limerick Garda Division,Damage to property and to the environment  offences,815.0
2007Q2,Limerick Garda Division,Dangerous or negligent acts,579.0
2007Q2,Limerick Garda Division,"Fraud, deception and related offences",49.0
2007Q2,Limerick Garda Division,Homicide & related offences,3.0
2007Q2,Limerick Garda Division,Kidnapping and related offences,2.0
2007Q2,Limerick Garda Division,"Offences against government, justice procedures and organisation of crime",69.0
2007Q2,Limerick Garda Division,Offences not elsewhere classified,28.0
2007Q2,Limerick Garda Division,Public order and other social code offences,625.0
2007Q2,Limerick Garda Division,Road and traffic offences,1762.0
2007Q2,Limerick Garda Division,"Robbery, extortion and hijacking offences",24.0
2007Q2,Limerick Garda Division,Sexual offences,24.0
2007Q2,Limerick Garda Division,Theft and related offences,954.0
2007Q2,Limerick Garda Division,Weapons and explosives offences,57.0
2007Q3,Limerick Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",246.0
2007Q3,Limerick Garda Division,Burglary and related offences,311.0
2007Q3,Limerick Garda Division,Controlled drug offences,207.0
2007Q3,Limerick Garda Division,Damage to property and to the environment  offences,658.0
2007Q3,Limerick Garda Division,Dangerous or negligent acts,527.0
2007Q3,Limerick Garda Division,"Fraud, deception and related offences",90.0
2007Q3,Limerick Garda Division,Homicide & related offences,2.0
2007Q3,Limerick Garda Division,Kidnapping and related offences,1.0
2007Q3,Limerick Garda Division,"Offences against government, justice procedures and organisation of crime",91.0
2007Q3,Limerick Garda Division,Offences not elsewhere classified,26.0
2007Q3,Limerick Garda Division,Public order and other social code offences,612.0
2007Q3,Limerick Garda Division,Road and traffic offences,1982.0
2007Q3,Limerick Garda Division,"Robbery, extortion and hijacking offences",24.0
2007Q3,Limerick Garda Division,Sexual offences,29.0
2007Q3,Limerick Garda Division,Theft and related offences,1084.0
