Quarter,Garda Division,Type of Offence,VALUE
2005Q4,Kilkenny-Carlow Garda Division,Sexual offences,8.0
2005Q4,Kilkenny-Carlow Garda Division,Theft and related offences,477.0
2005Q4,Kilkenny-Carlow Garda Division,Weapons and explosives offences,14.0
2006Q1,Kilkenny-Carlow Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",128.0
2006Q1,Kilkenny-Carlow Garda Division,Burglary and related offences,283.0
2006Q1,Kilkenny-Carlow Garda Division,Controlled drug offences,124.0
2006Q1,Kilkenny-Carlow Garda Division,Damage to property and to the environment  offences,281.0
2006Q1,Kilkenny-Carlow Garda Division,Dangerous or negligent acts,295.0
2006Q1,Kilkenny-Carlow Garda Division,"Fraud, deception and related offences",22.0
2006Q1,Kilkenny-Carlow Garda Division,Homicide & related offences,0.0
2006Q1,Kilkenny-Carlow Garda Division,Kidnapping and related offences,0.0
2006Q1,Kilkenny-Carlow Garda Division,"Offences against government, justice procedures and organisation of crime",40.0
2006Q1,Kilkenny-Carlow Garda Division,Offences not elsewhere classified,2.0
2006Q1,Kilkenny-Carlow Garda Division,Public order and other social code offences,286.0
2006Q1,Kilkenny-Carlow Garda Division,Road and traffic offences,332.0
2006Q1,Kilkenny-Carlow Garda Division,"Robbery, extortion and hijacking offences",5.0
2006Q1,Kilkenny-Carlow Garda Division,Sexual offences,11.0
2006Q1,Kilkenny-Carlow Garda Division,Theft and related offences,546.0
2006Q1,Kilkenny-Carlow Garda Division,Weapons and explosives offences,8.0
2006Q2,Kilkenny-Carlow Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",115.0
2006Q2,Kilkenny-Carlow Garda Division,Burglary and related offences,195.0
2006Q2,Kilkenny-Carlow Garda Division,Controlled drug offences,163.0
2006Q2,Kilkenny-Carlow Garda Division,Damage to property and to the environment  offences,253.0
2006Q2,Kilkenny-Carlow Garda Division,Dangerous or negligent acts,403.0
2006Q2,Kilkenny-Carlow Garda Division,"Fraud, deception and related offences",29.0
2006Q2,Kilkenny-Carlow Garda Division,Homicide & related offences,0.0
2006Q2,Kilkenny-Carlow Garda Division,Kidnapping and related offences,0.0
2006Q2,Kilkenny-Carlow Garda Division,"Offences against government, justice procedures and organisation of crime",42.0
2006Q2,Kilkenny-Carlow Garda Division,Offences not elsewhere classified,9.0
2006Q2,Kilkenny-Carlow Garda Division,Public order and other social code offences,374.0
2006Q2,Kilkenny-Carlow Garda Division,Road and traffic offences,874.0
2006Q2,Kilkenny-Carlow Garda Division,"Robbery, extortion and hijacking offences",11.0
2006Q2,Kilkenny-Carlow Garda Division,Sexual offences,14.0
2006Q2,Kilkenny-Carlow Garda Division,Theft and related offences,499.0
2006Q2,Kilkenny-Carlow Garda Division,Weapons and explosives offences,10.0
2006Q3,Kilkenny-Carlow Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",128.0
2006Q3,Kilkenny-Carlow Garda Division,Burglary and related offences,235.0
2006Q3,Kilkenny-Carlow Garda Division,Controlled drug offences,82.0
2006Q3,Kilkenny-Carlow Garda Division,Damage to property and to the environment  offences,296.0
2006Q3,Kilkenny-Carlow Garda Division,Dangerous or negligent acts,411.0
2006Q3,Kilkenny-Carlow Garda Division,"Fraud, deception and related offences",21.0
2006Q3,Kilkenny-Carlow Garda Division,Homicide & related offences,2.0
2006Q3,Kilkenny-Carlow Garda Division,Kidnapping and related offences,0.0
2006Q3,Kilkenny-Carlow Garda Division,"Offences against government, justice procedures and organisation of crime",9.0
2006Q3,Kilkenny-Carlow Garda Division,Offences not elsewhere classified,5.0
2006Q3,Kilkenny-Carlow Garda Division,Public order and other social code offences,389.0
2006Q3,Kilkenny-Carlow Garda Division,Road and traffic offences,987.0
2006Q3,Kilkenny-Carlow Garda Division,"Robbery, extortion and hijacking offences",11.0
2006Q3,Kilkenny-Carlow Garda Division,Sexual offences,12.0
2006Q3,Kilkenny-Carlow Garda Division,Theft and related offences,541.0
2006Q3,Kilkenny-Carlow Garda Division,Weapons and explosives offences,8.0
2006Q4,Kilkenny-Carlow Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",136.0
2006Q4,Kilkenny-Carlow Garda Division,Burglary and related offences,232.0
2006Q4,Kilkenny-Carlow Garda Division,Controlled drug offences,103.0
2006Q4,Kilkenny-Carlow Garda Division,Damage to property and to the environment  offences,268.0
2006Q4,Kilkenny-Carlow Garda Division,Dangerous or negligent acts,552.0
2006Q4,Kilkenny-Carlow Garda Division,"Fraud, deception and related offences",8.0
2006Q4,Kilkenny-Carlow Garda Division,Homicide & related offences,2.0
2006Q4,Kilkenny-Carlow Garda Division,Kidnapping and related offences,1.0
2006Q4,Kilkenny-Carlow Garda Division,"Offences against government, justice procedures and organisation of crime",29.0
2006Q4,Kilkenny-Carlow Garda Division,Offences not elsewhere classified,14.0
2006Q4,Kilkenny-Carlow Garda Division,Public order and other social code offences,369.0
2006Q4,Kilkenny-Carlow Garda Division,Road and traffic offences,914.0
2006Q4,Kilkenny-Carlow Garda Division,"Robbery, extortion and hijacking offences",6.0
2006Q4,Kilkenny-Carlow Garda Division,Sexual offences,9.0
2006Q4,Kilkenny-Carlow Garda Division,Theft and related offences,449.0
2006Q4,Kilkenny-Carlow Garda Division,Weapons and explosives offences,8.0
2007Q1,Kilkenny-Carlow Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",173.0
2007Q1,Kilkenny-Carlow Garda Division,Burglary and related offences,210.0
2007Q1,Kilkenny-Carlow Garda Division,Controlled drug offences,137.0
2007Q1,Kilkenny-Carlow Garda Division,Damage to property and to the environment  offences,285.0
2007Q1,Kilkenny-Carlow Garda Division,Dangerous or negligent acts,506.0
2007Q1,Kilkenny-Carlow Garda Division,"Fraud, deception and related offences",37.0
2007Q1,Kilkenny-Carlow Garda Division,Homicide & related offences,0.0
2007Q1,Kilkenny-Carlow Garda Division,Kidnapping and related offences,1.0
2007Q1,Kilkenny-Carlow Garda Division,"Offences against government, justice procedures and organisation of crime",40.0
2007Q1,Kilkenny-Carlow Garda Division,Offences not elsewhere classified,22.0
2007Q1,Kilkenny-Carlow Garda Division,Public order and other social code offences,357.0
2007Q1,Kilkenny-Carlow Garda Division,Road and traffic offences,943.0
2007Q1,Kilkenny-Carlow Garda Division,"Robbery, extortion and hijacking offences",6.0
2007Q1,Kilkenny-Carlow Garda Division,Sexual offences,13.0
2007Q1,Kilkenny-Carlow Garda Division,Theft and related offences,456.0
2007Q1,Kilkenny-Carlow Garda Division,Weapons and explosives offences,14.0
2007Q2,Kilkenny-Carlow Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",133.0
2007Q2,Kilkenny-Carlow Garda Division,Burglary and related offences,187.0
2007Q2,Kilkenny-Carlow Garda Division,Controlled drug offences,152.0
2007Q2,Kilkenny-Carlow Garda Division,Damage to property and to the environment  offences,285.0
2007Q2,Kilkenny-Carlow Garda Division,Dangerous or negligent acts,691.0
2007Q2,Kilkenny-Carlow Garda Division,"Fraud, deception and related offences",27.0
2007Q2,Kilkenny-Carlow Garda Division,Homicide & related offences,0.0
2007Q2,Kilkenny-Carlow Garda Division,Kidnapping and related offences,0.0
2007Q2,Kilkenny-Carlow Garda Division,"Offences against government, justice procedures and organisation of crime",29.0
2007Q2,Kilkenny-Carlow Garda Division,Offences not elsewhere classified,4.0
2007Q2,Kilkenny-Carlow Garda Division,Public order and other social code offences,435.0
2007Q2,Kilkenny-Carlow Garda Division,Road and traffic offences,1067.0
2007Q2,Kilkenny-Carlow Garda Division,"Robbery, extortion and hijacking offences",2.0
2007Q2,Kilkenny-Carlow Garda Division,Sexual offences,10.0
2007Q2,Kilkenny-Carlow Garda Division,Theft and related offences,460.0
2007Q2,Kilkenny-Carlow Garda Division,Weapons and explosives offences,5.0
2007Q3,Kilkenny-Carlow Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",161.0
2007Q3,Kilkenny-Carlow Garda Division,Burglary and related offences,203.0
2007Q3,Kilkenny-Carlow Garda Division,Controlled drug offences,137.0
2007Q3,Kilkenny-Carlow Garda Division,Damage to property and to the environment  offences,294.0
2007Q3,Kilkenny-Carlow Garda Division,Dangerous or negligent acts,625.0
2007Q3,Kilkenny-Carlow Garda Division,"Fraud, deception and related offences",39.0
2007Q3,Kilkenny-Carlow Garda Division,Homicide & related offences,1.0
2007Q3,Kilkenny-Carlow Garda Division,Kidnapping and related offences,0.0
2007Q3,Kilkenny-Carlow Garda Division,"Offences against government, justice procedures and organisation of crime",26.0
2007Q3,Kilkenny-Carlow Garda Division,Offences not elsewhere classified,14.0
2007Q3,Kilkenny-Carlow Garda Division,Public order and other social code offences,407.0
2007Q3,Kilkenny-Carlow Garda Division,Road and traffic offences,1078.0
2007Q3,Kilkenny-Carlow Garda Division,"Robbery, extortion and hijacking offences",5.0
2007Q3,Kilkenny-Carlow Garda Division,Sexual offences,10.0
2007Q3,Kilkenny-Carlow Garda Division,Theft and related offences,489.0
2007Q3,Kilkenny-Carlow Garda Division,Weapons and explosives offences,16.0
2007Q4,Kilkenny-Carlow Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",132.0
2007Q4,Kilkenny-Carlow Garda Division,Burglary and related offences,199.0
2007Q4,Kilkenny-Carlow Garda Division,Controlled drug offences,152.0
2007Q4,Kilkenny-Carlow Garda Division,Damage to property and to the environment  offences,291.0
2007Q4,Kilkenny-Carlow Garda Division,Dangerous or negligent acts,464.0
2007Q4,Kilkenny-Carlow Garda Division,"Fraud, deception and related offences",73.0
2007Q4,Kilkenny-Carlow Garda Division,Homicide & related offences,1.0
2007Q4,Kilkenny-Carlow Garda Division,Kidnapping and related offences,1.0
2007Q4,Kilkenny-Carlow Garda Division,"Offences against government, justice procedures and organisation of crime",36.0
2007Q4,Kilkenny-Carlow Garda Division,Offences not elsewhere classified,14.0
2007Q4,Kilkenny-Carlow Garda Division,Public order and other social code offences,459.0
2007Q4,Kilkenny-Carlow Garda Division,Road and traffic offences,1008.0
2007Q4,Kilkenny-Carlow Garda Division,"Robbery, extortion and hijacking offences",6.0
2007Q4,Kilkenny-Carlow Garda Division,Sexual offences,8.0
2007Q4,Kilkenny-Carlow Garda Division,Theft and related offences,494.0
2007Q4,Kilkenny-Carlow Garda Division,Weapons and explosives offences,20.0
2008Q1,Kilkenny-Carlow Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",176.0
2008Q1,Kilkenny-Carlow Garda Division,Burglary and related offences,204.0
2008Q1,Kilkenny-Carlow Garda Division,Controlled drug offences,189.0
2008Q1,Kilkenny-Carlow Garda Division,Damage to property and to the environment  offences,343.0
2008Q1,Kilkenny-Carlow Garda Division,Dangerous or negligent acts,451.0
2008Q1,Kilkenny-Carlow Garda Division,"Fraud, deception and related offences",30.0
2008Q1,Kilkenny-Carlow Garda Division,Homicide & related offences,0.0
2008Q1,Kilkenny-Carlow Garda Division,Kidnapping and related offences,0.0
2008Q1,Kilkenny-Carlow Garda Division,"Offences against government, justice procedures and organisation of crime",43.0
2008Q1,Kilkenny-Carlow Garda Division,Offences not elsewhere classified,21.0
2008Q1,Kilkenny-Carlow Garda Division,Public order and other social code offences,431.0
2008Q1,Kilkenny-Carlow Garda Division,Road and traffic offences,1122.0
2008Q1,Kilkenny-Carlow Garda Division,"Robbery, extortion and hijacking offences",13.0
2008Q1,Kilkenny-Carlow Garda Division,Sexual offences,11.0
2008Q1,Kilkenny-Carlow Garda Division,Theft and related offences,443.0
2008Q1,Kilkenny-Carlow Garda Division,Weapons and explosives offences,25.0
2008Q2,Kilkenny-Carlow Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",148.0
2008Q2,Kilkenny-Carlow Garda Division,Burglary and related offences,212.0
2008Q2,Kilkenny-Carlow Garda Division,Controlled drug offences,154.0
2008Q2,Kilkenny-Carlow Garda Division,Damage to property and to the environment  offences,282.0
2008Q2,Kilkenny-Carlow Garda Division,Dangerous or negligent acts,440.0
2008Q2,Kilkenny-Carlow Garda Division,"Fraud, deception and related offences",45.0
2008Q2,Kilkenny-Carlow Garda Division,Homicide & related offences,0.0
2008Q2,Kilkenny-Carlow Garda Division,Kidnapping and related offences,0.0
2008Q2,Kilkenny-Carlow Garda Division,"Offences against government, justice procedures and organisation of crime",31.0
2008Q2,Kilkenny-Carlow Garda Division,Offences not elsewhere classified,15.0
2008Q2,Kilkenny-Carlow Garda Division,Public order and other social code offences,338.0
2008Q2,Kilkenny-Carlow Garda Division,Road and traffic offences,1353.0
2008Q2,Kilkenny-Carlow Garda Division,"Robbery, extortion and hijacking offences",8.0
2008Q2,Kilkenny-Carlow Garda Division,Sexual offences,7.0
2008Q2,Kilkenny-Carlow Garda Division,Theft and related offences,446.0
