Quarter,Garda Division,Type of Offence,VALUE
2007Q3,D.M.R. North Central Garda Division,Dangerous or negligent acts,361.0
2007Q3,D.M.R. North Central Garda Division,"Fraud, deception and related offences",97.0
2007Q3,D.M.R. North Central Garda Division,Homicide & related offences,0.0
2007Q3,D.M.R. North Central Garda Division,Kidnapping and related offences,1.0
2007Q3,D.M.R. North Central Garda Division,"Offences against government, justice procedures and organisation of crime",899.0
2007Q3,D.M.R. North Central Garda Division,Offences not elsewhere classified,33.0
2007Q3,D.M.R. North Central Garda Division,Public order and other social code offences,843.0
2007Q3,D.M.R. North Central Garda Division,Road and traffic offences,2525.0
2007Q3,D.M.R. North Central Garda Division,"Robbery, extortion and hijacking offences",55.0
2007Q3,D.M.R. North Central Garda Division,Sexual offences,14.0
2007Q3,D.M.R. North Central Garda Division,Theft and related offences,1792.0
2007Q3,D.M.R. North Central Garda Division,Weapons and explosives offences,100.0
2007Q4,D.M.R. North Central Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",180.0
2007Q4,D.M.R. North Central Garda Division,Burglary and related offences,278.0
2007Q4,D.M.R. North Central Garda Division,Controlled drug offences,222.0
2007Q4,D.M.R. North Central Garda Division,Damage to property and to the environment  offences,524.0
2007Q4,D.M.R. North Central Garda Division,Dangerous or negligent acts,428.0
2007Q4,D.M.R. North Central Garda Division,"Fraud, deception and related offences",113.0
2007Q4,D.M.R. North Central Garda Division,Homicide & related offences,0.0
2007Q4,D.M.R. North Central Garda Division,Kidnapping and related offences,2.0
2007Q4,D.M.R. North Central Garda Division,"Offences against government, justice procedures and organisation of crime",912.0
2007Q4,D.M.R. North Central Garda Division,Offences not elsewhere classified,31.0
2007Q4,D.M.R. North Central Garda Division,Public order and other social code offences,892.0
2007Q4,D.M.R. North Central Garda Division,Road and traffic offences,2762.0
2007Q4,D.M.R. North Central Garda Division,"Robbery, extortion and hijacking offences",65.0
2007Q4,D.M.R. North Central Garda Division,Sexual offences,14.0
2007Q4,D.M.R. North Central Garda Division,Theft and related offences,1741.0
2007Q4,D.M.R. North Central Garda Division,Weapons and explosives offences,91.0
2008Q1,D.M.R. North Central Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",171.0
2008Q1,D.M.R. North Central Garda Division,Burglary and related offences,274.0
2008Q1,D.M.R. North Central Garda Division,Controlled drug offences,266.0
2008Q1,D.M.R. North Central Garda Division,Damage to property and to the environment  offences,532.0
2008Q1,D.M.R. North Central Garda Division,Dangerous or negligent acts,409.0
2008Q1,D.M.R. North Central Garda Division,"Fraud, deception and related offences",87.0
2008Q1,D.M.R. North Central Garda Division,Homicide & related offences,0.0
2008Q1,D.M.R. North Central Garda Division,Kidnapping and related offences,1.0
2008Q1,D.M.R. North Central Garda Division,"Offences against government, justice procedures and organisation of crime",1185.0
2008Q1,D.M.R. North Central Garda Division,Offences not elsewhere classified,36.0
2008Q1,D.M.R. North Central Garda Division,Public order and other social code offences,1081.0
2008Q1,D.M.R. North Central Garda Division,Road and traffic offences,2676.0
2008Q1,D.M.R. North Central Garda Division,"Robbery, extortion and hijacking offences",66.0
2008Q1,D.M.R. North Central Garda Division,Sexual offences,11.0
2008Q1,D.M.R. North Central Garda Division,Theft and related offences,1810.0
2008Q1,D.M.R. North Central Garda Division,Weapons and explosives offences,95.0
2008Q2,D.M.R. North Central Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",208.0
2008Q2,D.M.R. North Central Garda Division,Burglary and related offences,259.0
2008Q2,D.M.R. North Central Garda Division,Controlled drug offences,345.0
2008Q2,D.M.R. North Central Garda Division,Damage to property and to the environment  offences,589.0
2008Q2,D.M.R. North Central Garda Division,Dangerous or negligent acts,298.0
2008Q2,D.M.R. North Central Garda Division,"Fraud, deception and related offences",90.0
2008Q2,D.M.R. North Central Garda Division,Homicide & related offences,0.0
2008Q2,D.M.R. North Central Garda Division,Kidnapping and related offences,1.0
2008Q2,D.M.R. North Central Garda Division,"Offences against government, justice procedures and organisation of crime",1336.0
2008Q2,D.M.R. North Central Garda Division,Offences not elsewhere classified,39.0
2008Q2,D.M.R. North Central Garda Division,Public order and other social code offences,1058.0
2008Q2,D.M.R. North Central Garda Division,Road and traffic offences,2705.0
2008Q2,D.M.R. North Central Garda Division,"Robbery, extortion and hijacking offences",54.0
2008Q2,D.M.R. North Central Garda Division,Sexual offences,11.0
2008Q2,D.M.R. North Central Garda Division,Theft and related offences,1853.0
2008Q2,D.M.R. North Central Garda Division,Weapons and explosives offences,78.0
2008Q3,D.M.R. North Central Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",170.0
2008Q3,D.M.R. North Central Garda Division,Burglary and related offences,260.0
2008Q3,D.M.R. North Central Garda Division,Controlled drug offences,363.0
2008Q3,D.M.R. North Central Garda Division,Damage to property and to the environment  offences,507.0
2008Q3,D.M.R. North Central Garda Division,Dangerous or negligent acts,331.0
2008Q3,D.M.R. North Central Garda Division,"Fraud, deception and related offences",124.0
2008Q3,D.M.R. North Central Garda Division,Homicide & related offences,1.0
2008Q3,D.M.R. North Central Garda Division,Kidnapping and related offences,0.0
2008Q3,D.M.R. North Central Garda Division,"Offences against government, justice procedures and organisation of crime",1523.0
2008Q3,D.M.R. North Central Garda Division,Offences not elsewhere classified,56.0
2008Q3,D.M.R. North Central Garda Division,Public order and other social code offences,1065.0
2008Q3,D.M.R. North Central Garda Division,Road and traffic offences,2787.0
2008Q3,D.M.R. North Central Garda Division,"Robbery, extortion and hijacking offences",67.0
2008Q3,D.M.R. North Central Garda Division,Sexual offences,22.0
2008Q3,D.M.R. North Central Garda Division,Theft and related offences,1752.0
2008Q3,D.M.R. North Central Garda Division,Weapons and explosives offences,103.0
2008Q4,D.M.R. North Central Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",180.0
2008Q4,D.M.R. North Central Garda Division,Burglary and related offences,209.0
2008Q4,D.M.R. North Central Garda Division,Controlled drug offences,249.0
2008Q4,D.M.R. North Central Garda Division,Damage to property and to the environment  offences,503.0
