Quarter,Garda Division,Type of Offence,VALUE
2008Q3,Tipperary Garda Division,Homicide & related offences,3.0
2008Q3,Tipperary Garda Division,Kidnapping and related offences,1.0
2008Q3,Tipperary Garda Division,"Offences against government, justice procedures and organisation of crime",31.0
2008Q3,Tipperary Garda Division,Offences not elsewhere classified,14.0
2008Q3,Tipperary Garda Division,Public order and other social code offences,380.0
2008Q3,Tipperary Garda Division,Road and traffic offences,966.0
2008Q3,Tipperary Garda Division,"Robbery, extortion and hijacking offences",10.0
2008Q3,Tipperary Garda Division,Sexual offences,6.0
2008Q3,Tipperary Garda Division,Theft and related offences,321.0
2008Q3,Tipperary Garda Division,Weapons and explosives offences,27.0
2008Q4,Tipperary Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",151.0
2008Q4,Tipperary Garda Division,Burglary and related offences,176.0
2008Q4,Tipperary Garda Division,Controlled drug offences,245.0
2008Q4,Tipperary Garda Division,Damage to property and to the environment  offences,198.0
2008Q4,Tipperary Garda Division,Dangerous or negligent acts,516.0
2008Q4,Tipperary Garda Division,"Fraud, deception and related offences",37.0
2008Q4,Tipperary Garda Division,Homicide & related offences,3.0
2008Q4,Tipperary Garda Division,Kidnapping and related offences,0.0
2008Q4,Tipperary Garda Division,"Offences against government, justice procedures and organisation of crime",48.0
2008Q4,Tipperary Garda Division,Offences not elsewhere classified,12.0
2008Q4,Tipperary Garda Division,Public order and other social code offences,394.0
2008Q4,Tipperary Garda Division,Road and traffic offences,811.0
2008Q4,Tipperary Garda Division,"Robbery, extortion and hijacking offences",8.0
2008Q4,Tipperary Garda Division,Sexual offences,12.0
2008Q4,Tipperary Garda Division,Theft and related offences,323.0
2008Q4,Tipperary Garda Division,Weapons and explosives offences,45.0
2009Q1,Tipperary Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",143.0
2009Q1,Tipperary Garda Division,Burglary and related offences,144.0
2009Q1,Tipperary Garda Division,Controlled drug offences,191.0
2009Q1,Tipperary Garda Division,Damage to property and to the environment  offences,219.0
2009Q1,Tipperary Garda Division,Dangerous or negligent acts,821.0
2009Q1,Tipperary Garda Division,"Fraud, deception and related offences",29.0
2009Q1,Tipperary Garda Division,Homicide & related offences,0.0
2009Q1,Tipperary Garda Division,Kidnapping and related offences,0.0
2009Q1,Tipperary Garda Division,"Offences against government, justice procedures and organisation of crime",44.0
2009Q1,Tipperary Garda Division,Offences not elsewhere classified,25.0
2009Q1,Tipperary Garda Division,Public order and other social code offences,334.0
2009Q1,Tipperary Garda Division,Road and traffic offences,1063.0
2009Q1,Tipperary Garda Division,"Robbery, extortion and hijacking offences",7.0
2009Q1,Tipperary Garda Division,Sexual offences,14.0
2009Q1,Tipperary Garda Division,Theft and related offences,328.0
2009Q1,Tipperary Garda Division,Weapons and explosives offences,35.0
2009Q2,Tipperary Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",137.0
