Quarter,Garda Division,Type of Offence,VALUE
2006Q4,Wicklow Garda Division,Kidnapping and related offences,1.0
2006Q4,Wicklow Garda Division,"Offences against government, justice procedures and organisation of crime",52.0
2006Q4,Wicklow Garda Division,Offences not elsewhere classified,4.0
2006Q4,Wicklow Garda Division,Public order and other social code offences,314.0
2006Q4,Wicklow Garda Division,Road and traffic offences,702.0
2006Q4,Wicklow Garda Division,"Robbery, extortion and hijacking offences",12.0
2006Q4,Wicklow Garda Division,Sexual offences,8.0
2006Q4,Wicklow Garda Division,Theft and related offences,506.0
2006Q4,Wicklow Garda Division,Weapons and explosives offences,35.0
2007Q1,Wicklow Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",109.0
2007Q1,Wicklow Garda Division,Burglary and related offences,274.0
2007Q1,Wicklow Garda Division,Controlled drug offences,103.0
2007Q1,Wicklow Garda Division,Damage to property and to the environment  offences,283.0
2007Q1,Wicklow Garda Division,Dangerous or negligent acts,403.0
2007Q1,Wicklow Garda Division,"Fraud, deception and related offences",53.0
2007Q1,Wicklow Garda Division,Homicide & related offences,1.0
2007Q1,Wicklow Garda Division,Kidnapping and related offences,0.0
2007Q1,Wicklow Garda Division,"Offences against government, justice procedures and organisation of crime",59.0
2007Q1,Wicklow Garda Division,Offences not elsewhere classified,17.0
2007Q1,Wicklow Garda Division,Public order and other social code offences,347.0
2007Q1,Wicklow Garda Division,Road and traffic offences,778.0
2007Q1,Wicklow Garda Division,"Robbery, extortion and hijacking offences",16.0
2007Q1,Wicklow Garda Division,Sexual offences,8.0
2007Q1,Wicklow Garda Division,Theft and related offences,543.0
2007Q1,Wicklow Garda Division,Weapons and explosives offences,34.0
2007Q2,Wicklow Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",107.0
2007Q2,Wicklow Garda Division,Burglary and related offences,218.0
2007Q2,Wicklow Garda Division,Controlled drug offences,155.0
2007Q2,Wicklow Garda Division,Damage to property and to the environment  offences,298.0
2007Q2,Wicklow Garda Division,Dangerous or negligent acts,518.0
2007Q2,Wicklow Garda Division,"Fraud, deception and related offences",26.0
2007Q2,Wicklow Garda Division,Homicide & related offences,3.0
2007Q2,Wicklow Garda Division,Kidnapping and related offences,1.0
2007Q2,Wicklow Garda Division,"Offences against government, justice procedures and organisation of crime",54.0
2007Q2,Wicklow Garda Division,Offences not elsewhere classified,13.0
2007Q2,Wicklow Garda Division,Public order and other social code offences,395.0
2007Q2,Wicklow Garda Division,Road and traffic offences,862.0
2007Q2,Wicklow Garda Division,"Robbery, extortion and hijacking offences",19.0
2007Q2,Wicklow Garda Division,Sexual offences,11.0
2007Q2,Wicklow Garda Division,Theft and related offences,517.0
2007Q2,Wicklow Garda Division,Weapons and explosives offences,31.0
2007Q3,Wicklow Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",125.0
2007Q3,Wicklow Garda Division,Burglary and related offences,229.0
2007Q3,Wicklow Garda Division,Controlled drug offences,169.0
2007Q3,Wicklow Garda Division,Damage to property and to the environment  offences,321.0
2007Q3,Wicklow Garda Division,Dangerous or negligent acts,489.0
2007Q3,Wicklow Garda Division,"Fraud, deception and related offences",25.0
2007Q3,Wicklow Garda Division,Homicide & related offences,2.0
2007Q3,Wicklow Garda Division,Kidnapping and related offences,1.0
2007Q3,Wicklow Garda Division,"Offences against government, justice procedures and organisation of crime",54.0
2007Q3,Wicklow Garda Division,Offences not elsewhere classified,10.0
2007Q3,Wicklow Garda Division,Public order and other social code offences,374.0
2007Q3,Wicklow Garda Division,Road and traffic offences,689.0
2007Q3,Wicklow Garda Division,"Robbery, extortion and hijacking offences",8.0
2007Q3,Wicklow Garda Division,Sexual offences,13.0
2007Q3,Wicklow Garda Division,Theft and related offences,516.0
2007Q3,Wicklow Garda Division,Weapons and explosives offences,25.0
2007Q4,Wicklow Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",104.0
2007Q4,Wicklow Garda Division,Burglary and related offences,280.0
2007Q4,Wicklow Garda Division,Controlled drug offences,121.0
2007Q4,Wicklow Garda Division,Damage to property and to the environment  offences,287.0
2007Q4,Wicklow Garda Division,Dangerous or negligent acts,451.0
2007Q4,Wicklow Garda Division,"Fraud, deception and related offences",34.0
2007Q4,Wicklow Garda Division,Homicide & related offences,1.0
2007Q4,Wicklow Garda Division,Kidnapping and related offences,0.0
2007Q4,Wicklow Garda Division,"Offences against government, justice procedures and organisation of crime",38.0
2007Q4,Wicklow Garda Division,Offences not elsewhere classified,20.0
2007Q4,Wicklow Garda Division,Public order and other social code offences,363.0
2007Q4,Wicklow Garda Division,Road and traffic offences,786.0
2007Q4,Wicklow Garda Division,"Robbery, extortion and hijacking offences",8.0
2007Q4,Wicklow Garda Division,Sexual offences,3.0
2007Q4,Wicklow Garda Division,Theft and related offences,432.0
2007Q4,Wicklow Garda Division,Weapons and explosives offences,32.0
2008Q1,Wicklow Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",140.0
2008Q1,Wicklow Garda Division,Burglary and related offences,275.0
2008Q1,Wicklow Garda Division,Controlled drug offences,177.0
2008Q1,Wicklow Garda Division,Damage to property and to the environment  offences,356.0
2008Q1,Wicklow Garda Division,Dangerous or negligent acts,504.0
2008Q1,Wicklow Garda Division,"Fraud, deception and related offences",23.0
2008Q1,Wicklow Garda Division,Homicide & related offences,0.0
2008Q1,Wicklow Garda Division,Kidnapping and related offences,0.0
2008Q1,Wicklow Garda Division,"Offences against government, justice procedures and organisation of crime",65.0
2008Q1,Wicklow Garda Division,Offences not elsewhere classified,13.0
