Quarter,Garda Division,Type of Offence,VALUE
2006Q2,Donegal Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",201.0
2006Q2,Donegal Garda Division,Burglary and related offences,100.0
2006Q2,Donegal Garda Division,Controlled drug offences,131.0
2006Q2,Donegal Garda Division,Damage to property and to the environment  offences,350.0
2006Q2,Donegal Garda Division,Dangerous or negligent acts,1155.0
2006Q2,Donegal Garda Division,"Fraud, deception and related offences",24.0
2006Q2,Donegal Garda Division,Homicide & related offences,1.0
2006Q2,Donegal Garda Division,Kidnapping and related offences,0.0
2006Q2,Donegal Garda Division,"Offences against government, justice procedures and organisation of crime",34.0
2006Q2,Donegal Garda Division,Offences not elsewhere classified,20.0
2006Q2,Donegal Garda Division,Public order and other social code offences,605.0
2006Q2,Donegal Garda Division,Road and traffic offences,1026.0
2006Q2,Donegal Garda Division,"Robbery, extortion and hijacking offences",2.0
2006Q2,Donegal Garda Division,Sexual offences,18.0
2006Q2,Donegal Garda Division,Theft and related offences,353.0
2006Q2,Donegal Garda Division,Weapons and explosives offences,15.0
2006Q3,Donegal Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",202.0
2006Q3,Donegal Garda Division,Burglary and related offences,92.0
2006Q3,Donegal Garda Division,Controlled drug offences,75.0
2006Q3,Donegal Garda Division,Damage to property and to the environment  offences,349.0
2006Q3,Donegal Garda Division,Dangerous or negligent acts,838.0
2006Q3,Donegal Garda Division,"Fraud, deception and related offences",15.0
2006Q3,Donegal Garda Division,Homicide & related offences,2.0
2006Q3,Donegal Garda Division,Kidnapping and related offences,2.0
2006Q3,Donegal Garda Division,"Offences against government, justice procedures and organisation of crime",32.0
2006Q3,Donegal Garda Division,Offences not elsewhere classified,12.0
2006Q3,Donegal Garda Division,Public order and other social code offences,643.0
2006Q3,Donegal Garda Division,Road and traffic offences,755.0
2006Q3,Donegal Garda Division,"Robbery, extortion and hijacking offences",5.0
2006Q3,Donegal Garda Division,Sexual offences,23.0
2006Q3,Donegal Garda Division,Theft and related offences,376.0
2006Q3,Donegal Garda Division,Weapons and explosives offences,11.0
2006Q4,Donegal Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",245.0
2006Q4,Donegal Garda Division,Burglary and related offences,96.0
2006Q4,Donegal Garda Division,Controlled drug offences,69.0
2006Q4,Donegal Garda Division,Damage to property and to the environment  offences,330.0
2006Q4,Donegal Garda Division,Dangerous or negligent acts,716.0
2006Q4,Donegal Garda Division,"Fraud, deception and related offences",32.0
2006Q4,Donegal Garda Division,Homicide & related offences,1.0
2006Q4,Donegal Garda Division,Kidnapping and related offences,0.0
2006Q4,Donegal Garda Division,"Offences against government, justice procedures and organisation of crime",38.0
2006Q4,Donegal Garda Division,Offences not elsewhere classified,24.0
2006Q4,Donegal Garda Division,Public order and other social code offences,666.0
2006Q4,Donegal Garda Division,Road and traffic offences,835.0
2006Q4,Donegal Garda Division,"Robbery, extortion and hijacking offences",5.0
2006Q4,Donegal Garda Division,Sexual offences,16.0
2006Q4,Donegal Garda Division,Theft and related offences,325.0
2006Q4,Donegal Garda Division,Weapons and explosives offences,43.0
2007Q1,Donegal Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",202.0
2007Q1,Donegal Garda Division,Burglary and related offences,83.0
2007Q1,Donegal Garda Division,Controlled drug offences,84.0
2007Q1,Donegal Garda Division,Damage to property and to the environment  offences,335.0
2007Q1,Donegal Garda Division,Dangerous or negligent acts,626.0
2007Q1,Donegal Garda Division,"Fraud, deception and related offences",56.0
2007Q1,Donegal Garda Division,Homicide & related offences,2.0
2007Q1,Donegal Garda Division,Kidnapping and related offences,6.0
2007Q1,Donegal Garda Division,"Offences against government, justice procedures and organisation of crime",56.0
2007Q1,Donegal Garda Division,Offences not elsewhere classified,33.0
2007Q1,Donegal Garda Division,Public order and other social code offences,560.0
2007Q1,Donegal Garda Division,Road and traffic offences,714.0
2007Q1,Donegal Garda Division,"Robbery, extortion and hijacking offences",4.0
2007Q1,Donegal Garda Division,Sexual offences,16.0
2007Q1,Donegal Garda Division,Theft and related offences,342.0
2007Q1,Donegal Garda Division,Weapons and explosives offences,15.0
2007Q2,Donegal Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",244.0
2007Q2,Donegal Garda Division,Burglary and related offences,110.0
2007Q2,Donegal Garda Division,Controlled drug offences,146.0
2007Q2,Donegal Garda Division,Damage to property and to the environment  offences,318.0
2007Q2,Donegal Garda Division,Dangerous or negligent acts,947.0
2007Q2,Donegal Garda Division,"Fraud, deception and related offences",35.0
2007Q2,Donegal Garda Division,Homicide & related offences,1.0
2007Q2,Donegal Garda Division,Kidnapping and related offences,3.0
2007Q2,Donegal Garda Division,"Offences against government, justice procedures and organisation of crime",53.0
2007Q2,Donegal Garda Division,Offences not elsewhere classified,48.0
2007Q2,Donegal Garda Division,Public order and other social code offences,598.0
2007Q2,Donegal Garda Division,Road and traffic offences,925.0
2007Q2,Donegal Garda Division,"Robbery, extortion and hijacking offences",1.0
