Quarter,Garda Division,Type of Offence,VALUE
2006Q3,D.M.R. Northern Garda Division,Theft and related offences,1401.0
2006Q3,D.M.R. Northern Garda Division,Weapons and explosives offences,69.0
2006Q4,D.M.R. Northern Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",227.0
2006Q4,D.M.R. Northern Garda Division,Burglary and related offences,554.0
2006Q4,D.M.R. Northern Garda Division,Controlled drug offences,239.0
2006Q4,D.M.R. Northern Garda Division,Damage to property and to the environment  offences,920.0
2006Q4,D.M.R. Northern Garda Division,Dangerous or negligent acts,1602.0
2006Q4,D.M.R. Northern Garda Division,"Fraud, deception and related offences",158.0
2006Q4,D.M.R. Northern Garda Division,Homicide & related offences,2.0
2006Q4,D.M.R. Northern Garda Division,Kidnapping and related offences,1.0
2006Q4,D.M.R. Northern Garda Division,"Offences against government, justice procedures and organisation of crime",189.0
2006Q4,D.M.R. Northern Garda Division,Offences not elsewhere classified,154.0
2006Q4,D.M.R. Northern Garda Division,Public order and other social code offences,723.0
2006Q4,D.M.R. Northern Garda Division,Road and traffic offences,2550.0
2006Q4,D.M.R. Northern Garda Division,"Robbery, extortion and hijacking offences",54.0
2006Q4,D.M.R. Northern Garda Division,Sexual offences,19.0
2006Q4,D.M.R. Northern Garda Division,Theft and related offences,1279.0
2006Q4,D.M.R. Northern Garda Division,Weapons and explosives offences,60.0
2007Q1,D.M.R. Northern Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",221.0
2007Q1,D.M.R. Northern Garda Division,Burglary and related offences,410.0
2007Q1,D.M.R. Northern Garda Division,Controlled drug offences,357.0
2007Q1,D.M.R. Northern Garda Division,Damage to property and to the environment  offences,771.0
2007Q1,D.M.R. Northern Garda Division,Dangerous or negligent acts,1633.0
2007Q1,D.M.R. Northern Garda Division,"Fraud, deception and related offences",156.0
2007Q1,D.M.R. Northern Garda Division,Homicide & related offences,2.0
2007Q1,D.M.R. Northern Garda Division,Kidnapping and related offences,1.0
2007Q1,D.M.R. Northern Garda Division,"Offences against government, justice procedures and organisation of crime",165.0
2007Q1,D.M.R. Northern Garda Division,Offences not elsewhere classified,111.0
2007Q1,D.M.R. Northern Garda Division,Public order and other social code offences,775.0
2007Q1,D.M.R. Northern Garda Division,Road and traffic offences,2359.0
2007Q1,D.M.R. Northern Garda Division,"Robbery, extortion and hijacking offences",47.0
2007Q1,D.M.R. Northern Garda Division,Sexual offences,34.0
2007Q1,D.M.R. Northern Garda Division,Theft and related offences,1216.0
2007Q1,D.M.R. Northern Garda Division,Weapons and explosives offences,65.0
2007Q2,D.M.R. Northern Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",238.0
2007Q2,D.M.R. Northern Garda Division,Burglary and related offences,366.0
2007Q2,D.M.R. Northern Garda Division,Controlled drug offences,463.0
2007Q2,D.M.R. Northern Garda Division,Damage to property and to the environment  offences,860.0
2007Q2,D.M.R. Northern Garda Division,Dangerous or negligent acts,1370.0
2007Q2,D.M.R. Northern Garda Division,"Fraud, deception and related offences",155.0
2007Q2,D.M.R. Northern Garda Division,Homicide & related offences,3.0
2007Q2,D.M.R. Northern Garda Division,Kidnapping and related offences,3.0
2007Q2,D.M.R. Northern Garda Division,"Offences against government, justice procedures and organisation of crime",159.0
2007Q2,D.M.R. Northern Garda Division,Offences not elsewhere classified,115.0
2007Q2,D.M.R. Northern Garda Division,Public order and other social code offences,926.0
2007Q2,D.M.R. Northern Garda Division,Road and traffic offences,2851.0
2007Q2,D.M.R. Northern Garda Division,"Robbery, extortion and hijacking offences",69.0
2007Q2,D.M.R. Northern Garda Division,Sexual offences,27.0
2007Q2,D.M.R. Northern Garda Division,Theft and related offences,1447.0
2007Q2,D.M.R. Northern Garda Division,Weapons and explosives offences,73.0
2007Q3,D.M.R. Northern Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",231.0
2007Q3,D.M.R. Northern Garda Division,Burglary and related offences,446.0
2007Q3,D.M.R. Northern Garda Division,Controlled drug offences,425.0
2007Q3,D.M.R. Northern Garda Division,Damage to property and to the environment  offences,745.0
2007Q3,D.M.R. Northern Garda Division,Dangerous or negligent acts,1388.0
2007Q3,D.M.R. Northern Garda Division,"Fraud, deception and related offences",135.0
2007Q3,D.M.R. Northern Garda Division,Homicide & related offences,2.0
2007Q3,D.M.R. Northern Garda Division,Kidnapping and related offences,2.0
2007Q3,D.M.R. Northern Garda Division,"Offences against government, justice procedures and organisation of crime",198.0
2007Q3,D.M.R. Northern Garda Division,Offences not elsewhere classified,150.0
2007Q3,D.M.R. Northern Garda Division,Public order and other social code offences,861.0
2007Q3,D.M.R. Northern Garda Division,Road and traffic offences,2787.0
2007Q3,D.M.R. Northern Garda Division,"Robbery, extortion and hijacking offences",58.0
2007Q3,D.M.R. Northern Garda Division,Sexual offences,23.0
2007Q3,D.M.R. Northern Garda Division,Theft and related offences,1467.0
2007Q3,D.M.R. Northern Garda Division,Weapons and explosives offences,72.0
2007Q4,D.M.R. Northern Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",274.0
2007Q4,D.M.R. Northern Garda Division,Burglary and related offences,550.0
2007Q4,D.M.R. Northern Garda Division,Controlled drug offences,383.0
2007Q4,D.M.R. Northern Garda Division,Damage to property and to the environment  offences,824.0
2007Q4,D.M.R. Northern Garda Division,Dangerous or negligent acts,2011.0
2007Q4,D.M.R. Northern Garda Division,"Fraud, deception and related offences",92.0
2007Q4,D.M.R. Northern Garda Division,Homicide & related offences,0.0
2007Q4,D.M.R. Northern Garda Division,Kidnapping and related offences,2.0
2007Q4,D.M.R. Northern Garda Division,"Offences against government, justice procedures and organisation of crime",195.0
2007Q4,D.M.R. Northern Garda Division,Offences not elsewhere classified,98.0
2007Q4,D.M.R. Northern Garda Division,Public order and other social code offences,937.0
2007Q4,D.M.R. Northern Garda Division,Road and traffic offences,3295.0
2007Q4,D.M.R. Northern Garda Division,"Robbery, extortion and hijacking offences",83.0
2007Q4,D.M.R. Northern Garda Division,Sexual offences,18.0
2007Q4,D.M.R. Northern Garda Division,Theft and related offences,1582.0
2007Q4,D.M.R. Northern Garda Division,Weapons and explosives offences,80.0
2008Q1,D.M.R. Northern Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",274.0
2008Q1,D.M.R. Northern Garda Division,Burglary and related offences,630.0
2008Q1,D.M.R. Northern Garda Division,Controlled drug offences,501.0
2008Q1,D.M.R. Northern Garda Division,Damage to property and to the environment  offences,1005.0
2008Q1,D.M.R. Northern Garda Division,Dangerous or negligent acts,1805.0
2008Q1,D.M.R. Northern Garda Division,"Fraud, deception and related offences",100.0
2008Q1,D.M.R. Northern Garda Division,Homicide & related offences,0.0
2008Q1,D.M.R. Northern Garda Division,Kidnapping and related offences,0.0
2008Q1,D.M.R. Northern Garda Division,"Offences against government, justice procedures and organisation of crime",188.0
2008Q1,D.M.R. Northern Garda Division,Offences not elsewhere classified,74.0
2008Q1,D.M.R. Northern Garda Division,Public order and other social code offences,1066.0
2008Q1,D.M.R. Northern Garda Division,Road and traffic offences,3458.0
2008Q1,D.M.R. Northern Garda Division,"Robbery, extortion and hijacking offences",89.0
2008Q1,D.M.R. Northern Garda Division,Sexual offences,30.0
2008Q1,D.M.R. Northern Garda Division,Theft and related offences,1513.0
2008Q1,D.M.R. Northern Garda Division,Weapons and explosives offences,74.0
2008Q2,D.M.R. Northern Garda Division,"Attempts/threats to murder, assaults, harassments and related offences",299.0
